person_id,id,name,character,role,platform
6146,tm97393,Purv Pullen,Baby Chicks (voice) (uncredited),ACTOR,disney
6139,tm97393,Pinto Colvig,Peter Pig's Groaning Noises (voice) (uncredited),ACTOR,disney
23446,tm97393,Wilfred Jackson,,DIRECTOR,disney
5910,tm3616,Walt Disney,Mickey Mouse / Minnie Mouse / Pete (voice) (uncredited),ACTOR,disney
153911,tm3616,Ub Iwerks,,DIRECTOR,disney
13768,tm112420,Billy Bletcher,Big Bad Wolf (voice) (uncredited),ACTOR,disney
6139,tm112420,Pinto Colvig,Practical Pig (voice) (uncredited),ACTOR,disney
571036,tm112420,Mary Moder,Fiddler Pig (voice) (uncredited),ACTOR,disney
574167,tm112420,Dorothy Compton,Fifer Pig (voice) (uncredited),ACTOR,disney
175613,tm112420,Alyce Ardell,Little Wolf (voice) (uncredited),ACTOR,disney
175614,tm112420,Leone LeDoux,Little Wolf (voice) (uncredited),ACTOR,disney
153789,tm112420,Bonnie Poe,Little Wolf (voice) (uncredited),ACTOR,disney
6147,tm112420,David Hand,,DIRECTOR,disney
5910,tm7516,Walt Disney,Mickey Mouse (voice),ACTOR,disney
13772,tm7516,Eddie Holden,The Giant (voice),ACTOR,disney
152795,tm7516,Marcellite Garner,Minnie Mouse (voice),ACTOR,disney
134005,tm7516,Burt Gillett,,DIRECTOR,disney
23440,tm7516,William Roberts,,DIRECTOR,disney
31237,tm4759,Clarence Nash,Birds (voice) (uncredited),ACTOR,disney
1425627,tm4759,Esther Campbell,(voice) (uncredited),ACTOR,disney
6145,tm4759,Marion Darlington,(voice) (uncredited),ACTOR,disney
6139,tm4759,Pinto Colvig,Evil Hollow Tree (voice) (uncredited),ACTOR,disney
5910,tm4759,Walt Disney,Owl Sirens (voice) (uncredited),ACTOR,disney
134005,tm4759,Burt Gillett,,DIRECTOR,disney
6139,tm103794,Pinto Colvig,Grasshopper (voice),ACTOR,disney
574167,tm103794,Dorothy Compton,Ant Queen (voice),ACTOR,disney
23446,tm103794,Wilfred Jackson,,DIRECTOR,disney
80556,tm100567,Sara Berner,Little Red Riding Hood / Grandma (voice) (uncredited),ACTOR,disney
13768,tm100567,Billy Bletcher,Big Bad Wolf (voice) (uncredited),ACTOR,disney
